"unique_id","collision_id","crash_date","crash_time","vehicle_id","state_registration","vehicle_type","vehicle_make","vehicle_model","vehicle_year","travel_direction","vehicle_occupants","driver_sex","driver_license_status","driver_license_jurisdiction","pre_crash","point_of_impact","vehicle_damage","vehicle_damage_1","vehicle_damage_2","vehicle_damage_3","public_property_damage","public_property_damage_type","contributing_factor_1","contributing_factor_2"
"14903590","3315642","2015-10-14T00:00:00.000","5:00","1","TX","LARGE COM VEH(6 OR MORE TIRES)",,,,,,,,,"Making Right Turn",,,,,,,,"Physical Disability",
"10385619","2927027","2012-08-26T00:00:00.000","16:29","1","NY","PASSENGER VEHICLE",,,,,,,,,,,,,,,,,"Fatigued/Drowsy",
"14831062","3279405","2015-08-17T00:00:00.000","15:47","1","NY","PASSENGER VEHICLE",,,,,,,,,"Going Straight Ahead",,,,,,,,"Failure to Yield Right-of-Way",
"12313986","2992280","2013-07-15T00:00:00.000","17:00","1","NY","SPORT UTILITY / STATION WAGON",,,,,,,,,,,,,,,,,"Fatigued/Drowsy",
"14842705","3285154","2015-08-27T00:00:00.000","7:20","1","NY","PASSENGER VEHICLE",,,,,,,,,"Making Left Turn",,,,,,,,"Prescription Medication",
"8531488","10017","2012-11-12T00:00:00.000","16:55","2","GA","SPORT UTILITY / STATION WAGON",,,,,,,,,,,,,,,,,"Unspecified",
"13233679","3045325","2013-04-06T00:00:00.000","7:05","1","NY","PASSENGER VEHICLE",,,,,,,,,,,,,,,,,"Unspecified",
"10055389","86647","2013-03-25T00:00:00.000","7:50","1","NY","VAN",,,,,,,,,,,,,,,,,"Unspecified",
"15029165","3378782","2016-01-27T00:00:00.000","8:30","2","NY","PASSENGER VEHICLE",,,,,,,,,"Parked",,,,,,,,"Unspecified",
"19139454","4228826","2019-10-24T00:00:00.000","9:20","cd5ccb9e-1de7-47af-bfc2-53ee8b0812a6","NY","4 dr sedan","NISS -CAR/SUV",,"2000","North","1","F","Licensed","NY","Backing","Center Back End","Center Back End",,,,"N",,"Backing Unsafely","Driver Inexperience"
"14634311","3194230","2015-03-26T00:00:00.000","15:00","1","NY","PICK-UP TRUCK",,,,,,,,,"Parked",,,,,,,,"Unspecified",
"15061195","3394984","2016-02-25T00:00:00.000","10:11","1","NY","PASSENGER VEHICLE",,,,,,,,,"Parked",,,,,,,,"Unspecified",
"19140448","4229131","2019-10-24T00:00:00.000","22:20","a6920a97-5a7d-4f38-b7fe-3545f8c7e562","NY","Sedan","TOYT -CAR/SUV",,"2019","West","1","F","Licensed","NY","Going Straight Ahead","Left Front Bumper","Left Front Bumper","Center Front End","Right Front Bumper",,"N",,"Unspecified","Unspecified"
"15079321","3404065","2016-03-11T00:00:00.000","21:31","1","NY","SPORT UTILITY / STATION WAGON",,,,,,,,,"Going Straight Ahead",,,,,,,,"Fatigued/Drowsy",
"19140660","4229698","2019-10-23T00:00:00.000","23:20","d9fafdef-41d3-4a65-8d98-40fc8693ff82","NY","Station Wagon/Sport Utility Vehicle","GMC -CAR/SUV",,"2016","West","0",,,,"Parked","Right Front Bumper","Right Front Bumper","Left Front Bumper","Center Front End","Right Front Quarter Panel","N",,"Unspecified","Unspecified"
"19140322","4229321","2019-10-24T00:00:00.000","15:00","47b93a4c-8f9d-40f1-a007-48c1d94a7781",,,,,,,,,,,,,,,,,"Unspecified",,,
"13230693","240527","2012-12-15T00:00:00.000","16:00","2","NJ","PASSENGER VEHICLE",,,,,,,,,,,,,,,,,"Unspecified",
"14672130","3209911","2015-04-27T00:00:00.000","16:30","1","NJ","SPORT UTILITY / STATION WAGON",,,,,,,,,"Backing",,,,,,,,"Unspecified",
"19139740","4229434","2019-10-24T00:00:00.000","18:20","775bcb70-da96-4f01-bf71-f4b0cc3a4428","NY","Sedan","KIA -CAR/SUV",,"2004","West","4","M","Permit","NY","Backing","Center Back End","Center Back End","Left Rear Bumper","No Damage","No Damage","N",,"Backing Unsafely","Driver Inexperience"
"14648143","3199977","2015-04-08T00:00:00.000","21:55","2","NY","PASSENGER VEHICLE",,,,,,,,,"Starting from Parking",,,,,,,,"Fatigued/Drowsy",
"19138956","4228914","2019-10-24T00:00:00.000","16:50","30fd483d-0018-45ad-9d1a-25c82b7e3c7a","NY","Bus","IC",,"2010","East","1","F","Licensed","NY","Going Straight Ahead","Left Front Bumper","Left Front Bumper",,,,"Unspecified",,"Unspecified","Unspecified"
"19139066","4229005","2019-10-24T00:00:00.000","16:00","009b7e5e-29da-445b-9276-970bb78ec945",,,,,,,,,,,,,,,,,"Unspecified",,,
"9977047","335025","2014-05-13T00:00:00.000","16:50","2","NY","PASSENGER VEHICLE",,,,,,,,,"Slowing or Stopping",,,,,,,,"Traffic Control Disregarded",
"8395403","2148","2013-03-17T00:00:00.000","16:00","2","NY","TAXI",,,,,,,,,,,,,,,,,"Unspecified",
"14519990","3146846","2015-01-02T00:00:00.000","17:20","2","NY","SPORT UTILITY / STATION WAGON",,,,,,,,,"Going Straight Ahead",,,,,,,,"Unspecified",
"19139241","4228592","2019-10-24T00:00:00.000","7:40","48ae5413-c7b5-460d-9faf-779de08209dc","NY","Station Wagon/Sport Utility Vehicle","HOND -CAR/SUV",,"2018","West","2","F","Licensed","NY","Making Right Turn","Right Rear Quarter Panel","Right Rear Quarter Panel",,,,"N",,"Unspecified","Unspecified"
"8532175","10366","2013-01-30T00:00:00.000","1:30","1","NY","TAXI",,,,,,,,,,,,,,,,,"Unspecified",
"14603135","3181296","2015-03-05T00:00:00.000","18:30","1","NY","SPORT UTILITY / STATION WAGON",,,,,,,,,"Parked",,,,,,,,"Unspecified",
"14747912","3240710","2015-06-15T00:00:00.000","17:12","1","NY","PASSENGER VEHICLE",,,,,,,,,"Stopped in Traffic",,,,,,,,"Unspecified",
"19139175","4229059","2019-10-24T00:00:00.000","14:05","487215a5-cfe8-4a9a-9a23-7a341c5dedb1","NY","Box Truck","FORD-TRUCK/BUS",,"2016","North","1","M",,"NY","Going Straight Ahead","Right Side Doors","Right Side Doors","No Damage","No Damage","No Damage","N",,"Driver Inattention/Distraction","Unspecified"
"11161855","138062","2013-05-29T00:00:00.000","21:55","3","VA","PASSENGER VEHICLE",,,,,,,,,,,,,,,,,"Unspecified",
"17072438","3444930","2016-05-20T00:00:00.000","23:30","328178","NY","Motorcycle","YAMA -MCL",,"2012","North","1","M","Licensed","CA","Going Straight Ahead","Center Front End","Other","Other","Other","Other","Y",,"Unspecified","Obstruction/Debris"
"19139591","4228907","2019-10-24T00:00:00.000","16:47","4525614b-2256-446f-be38-9d425b5ec7ba","NY","Station Wagon/Sport Utility Vehicle","CHEV -CAR/SUV",,"2016","West","1","M","Licensed","NY","Making Right Turn","Left Front Bumper","Left Front Quarter Panel",,,,"N",,"Unspecified","Unspecified"
